case_id,case_type,legal_regime,ipc_sections,num_ipc_sections,bns_sections,num_bns_sections,cpc_sections,num_cpc_sections,max_severity_score,immediate_threat_flag,societal_impact_score,priority_score,case_date,case_age_days,num_precedents,total_words,priority_category,priority_explanation
Columbia_Sportswear_Company_vs_Director_Of_I_T_Bangalore_on_30_July_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,5,5391,Low,Civil case
Commissioner_Of_Income_Tax_Bombay_vs_Ahmedbhai_Umarbhai_Co_Bombay_on_4_May_1950_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,0,24501,Low,Civil case
Commissioner_Of_Income_Tax_U_P_vs_Gappumal_Kanhaiya_Lal_on_26_May_1950_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,0,707,Low,Civil case
Commissioner_Of_Income_Tax_West_vs_Calcutta_Agency_Ltd_on_21_December_1950_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,0,3636,Low,Civil case
Commissioner_Of_vs_Sri_Keshab_Chandra_Mandal_on_9_May_1950_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,0,7352,Low,Civil case
Commnr_Of_Central_Excise_Mumbai_vs_M_S_Fiat_India_P_Ltd_Anr_on_29_August_2012_1,civil,IPC,,0,,0,,0,3,0,5,4.05,,,0,18243,Medium,Civil case
Commnr_Of_Central_Excise_New_Delhi_vs_M_S_Connaught_Plaza_Rest_P_Ltd_N_D_on_27_November_2012_1,criminal,IPC,,0,,0,,0,3,0,3,2.55,27/11/2012,4971.0,0,10608,Low,Criminal case; Pending for 13 years
Commnr_Of_Central_Excise_Surat_I_vs_M_S_Favourite_Industries_on_29_February_2012_1,criminal,IPC,,0,,0,,0,3,0,1,1.55,1-3-1997,10721.0,0,7241,Very Low,Criminal case; Pending for 29 years
Commnr_Of_Central_Excise_vs_M_S_Wockhardt_Life_Science_Ltd_on_22_February_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,0,8008,Low,Civil case
Court_On_Its_Own_Motion_vs_Union_Of_India_Ors_on_13_December_2012_1,criminal,IPC,,0,,0,,0,3,0,5,4.05,,,0,16777,Medium,Criminal case
Co_Operative_Society_Of_Debts_vs_Nandlal_on_12_October_1950_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,0,2214,Low,Civil case
C_I_T_Ii_vs_M_S_Krishi_Utpadan_Mandi_Samiti_on_27_September_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,0,3037,Low,Civil case
C_K_Jaffer_Sharief_vs_State_Thr_C_B_I_on_9_November_2012_1,criminal,IPC,,0,,0,,0,3,0,5,4.05,,,1,3208,Medium,Criminal case
C_N_Ramappa_Gowda_vs_C_C_Chaqndergowda_D_By_Lrs_Anr_on_23_April_2012_1,civil,IPC,,0,,0,8,1,3,0,3,3.05,,,1,4455,Low,Civil case; 1 CPC sections involved
Dahari_Ors_vs_State_Of_U_P_on_11_October_2012_1,criminal,IPC,"141,148,149,302,34",5,"189,191,190,103,3",5,,0,10,0,1,4.5,,,15,3524,Medium,Criminal case; 5 IPC sections involved; High legal complexity
Darbara_Singh_vs_State_Of_Punjab_on_12_September_2012_1,criminal,IPC,"302,34",2,"103,3",2,,0,10,0,1,4.5,,,11,4122,Medium,Criminal case; 2 IPC sections involved; High legal complexity
Darshan_Lal_Nagpal_Ors_vs_Govt_Of_Nct_Of_Delhi_Ors_on_3_January_2012_1,civil,IPC,,0,,0,,0,3,0,3,2.55,24-3-2008,6680.0,2,13494,Low,Civil case; Pending for 18 years
Dayal_Singh_Ors_vs_State_Of_Uttaranchal_on_3_August_2012_1,criminal,IPC,"302,304,34",3,"103,105,3",3,,0,10,1,3,8.5,,,5,12069,Critical,Criminal case; 3 IPC sections involved
Deepak_Kumar_Etc_vs_State_Of_Haryana_Ors_Etc_on_27_February_2012_1,criminal,IPC,,0,,0,,0,3,0,5,4.05,96/7/2000,,1,6514,Medium,Criminal case
Delhi_Race_Club_Ltd_vs_Union_Of_India_Ors_on_13_July_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,7,9434,Low,Civil case; High legal complexity
Deoki_Panjhiyara_vs_Shahshi_Bhushan_Narayan_Azad_Anr_on_12_December_2012_1,criminal,IPC,"494,495",2,"82,82",2,,0,4,1,1,5.4,,,3,3976,Medium,Criminal case; 2 IPC sections involved
Desiya_Murpokku_Dravida_Kazhagam_Anr_vs_Election_Commission_Of_India_on_18_April_2012_1,criminal,IPC,,0,,0,,0,3,0,3,2.55,24-01-2006,7470.0,4,20835,Low,Criminal case; Pending for 20 years
Devinder_Singh_Narula_vs_Meenakshi_Nangia_on_22_August_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,1,2255,Low,Civil case
Dhiyan_Singh_And_Another_vs_Jugal_Kishore_And_Another_on_22_February_1950_1,civil,IPC,,0,,0,,0,3,0,1,1.55,21-5-1940,31459.0,0,4843,Very Low,Civil case; Pending for 86 years
Dimpey_Gujral_Ors_vs_U_T_Chandigarh_Ors_on_6_December_2012_1,criminal,IPC,,0,,0,,0,3,0,3,2.55,26/10/2006,7195.0,1,1552,Low,Criminal case; Pending for 19 years
Dipak_Kumar_Mukherjee_vs_Kolkata_Mun_Corp_Ors_on_8_October_2012_1,civil,IPC,,0,,0,,0,3,0,5,4.05,,,1,9669,Medium,Civil case
Dipak_Subhashchandra_Mehta_vs_C_B_I_Anr_on_10_February_2012_1,criminal,IPC,,0,,0,,0,3,1,5,7.05,,,0,4545,High,Criminal case
Dirctor_General_Of_Posts_Ors_vs_K_Chandrashekar_Rao_on_13_December_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,0,6374,Low,Civil case
Dropti_Devi_Anr_vs_Union_Of_India_Ors_on_2_July_2012_1,criminal,IPC,,0,,0,,0,3,1,3,6.05,73/02/2009,,0,15695,High,Criminal case
Dr_Babu_Ram_Saksena_vs_The_State_on_5_May_1950_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,0,8319,Low,Criminal case
Dr_Mehmood_Nayyar_Azam_vs_State_Of_Chattisgarh_And_Ors_on_3_August_2012_1,criminal,IPC,,0,,0,,0,3,1,3,6.05,,,10,8852,High,Criminal case; High legal complexity
Dr_Mrs_Nupur_Talwar_vs_Cbi_Delhi_And_Anr_on_6_January_2012_1,criminal,IPC,"201,302,34",3,"238,103,3",3,,0,10,1,5,9.0,06-01-2012,5297.0,2,3653,Critical,Criminal case; 3 IPC sections involved; Pending for 14 years
Dr_N_B_Khare_vs_The_State_Of_Delhi_on_26_May_1950_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,0,6176,Low,Criminal case
Dr_Subramanian_Swamy_vs_Dr_Manmohan_Singh_And_Anr_on_31_January_2012_1,criminal,IPC,21,1,2,1,,0,4,0,5,4.4,,,4,17163,Medium,Criminal case; 1 IPC sections involved
Dy_Inspector_Gen_Of_Police_Anr_vs_S_Samuthiram_on_30_November_2012_1,criminal,IPC,"4,509",2,79,1,,0,4,1,3,6.4,,,1,6215,High,Criminal case; 2 IPC sections involved
Executors_Of_The_Estate_Of_J_K_Dubash_vs_Commissioner_Of_Income_Tax_Bombaycity_on_21_December_1950_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,0,4015,Low,Criminal case
Faiza_Choudhary_vs_State_Of_J_K_Anr_on_6_September_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,1,2751,Low,Criminal case
Gajoo_vs_State_Of_Uttarakhand_on_13_September_2012_1,criminal,IPC,302,1,103,1,,0,10,0,1,4.5,,,2,5863,Medium,Criminal case; 1 IPC sections involved
Gaytri_Bajaj_vs_Jiten_Bhalla_on_5_October_2012_1,civil,IPC,,0,,0,,0,3,1,1,5.05,,,1,3067,Medium,Civil case
Geeta_Mehrotra_Anr_vs_State_Of_U_P_Anr_on_17_October_2012_1,criminal,IPC,"323,498a,504,506",4,"115,86,352,351",4,,0,6,0,1,3.1,,,3,6143,Low,Criminal case; 4 IPC sections involved
General_Officer_Commanding_vs_Cbi_Anr_on_1_May_2012_1,criminal,IPC,"166,167,6",3,"198,201,3",3,,0,4,0,5,4.4,,,58,15553,Medium,Criminal case; 3 IPC sections involved; High legal complexity
Ghanshyam_Das_Gupta_vs_Makhan_Lal_on_21_August_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,0,1411,Low,Civil case
Gian_Singh_vs_State_Of_Punjab_Anr_on_24_September_2012_1,criminal,IPC,"120b,302,307,326,34,354,394,420,467,468,469,506",12,"61,103,109,118,3,74,309,318,338,336,336,351",12,,0,10,1,5,9.0,11-1-2004,8214.0,4,19206,Critical,Criminal case; 12 IPC sections involved; Pending for 22 years
Girish_Ramchandra_Deshpande_vs_Cen_Information_Commr_Ors_on_3_October_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,0,2633,Low,Criminal case
Gnanambal_Ammal_vs_T_Raju_Ayyar_And_Ors_on_21_December_1950_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,0,4345,Low,Civil case
Gnanambal_Ammal_vs_T_Raju_Ayyar_And_Others_on_21_October_1950_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,0,4520,Low,Civil case
Gorakhram_Sadhuram_vs_Laxmibai_Wife_Of_Inderlal_Nandlal_on_14_March_1950_1,civil,IPC,,0,,0,,0,3,0,1,1.55,26-5-1943,30359.0,0,4422,Very Low,Civil case; Pending for 83 years
Govindaraju_Govinda_vs_State_By_Sriramapuram_P_S_Anr_on_15_March_2012_1,criminal,IPC,"302,34",2,"103,3",2,,0,10,1,1,7.0,16-5-2011,5532.0,3,13381,High,Criminal case; 2 IPC sections involved; Pending for 15 years
Gurcharan_Singh_vs_Surjit_Singh_Anr_on_2_November_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,11,1802,Low,Civil case; High legal complexity
Gurgaon_Gramin_Bank_vs_Khazani_Anr_on_4_September_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,0,2144,Low,Criminal case
